"","technology","icc","icc.lbound","icc.ubound","kripp","fleiss","fleiss.z","fleiss.p","p.anova","num","no.coders"
"1","DNA-based technologies",0.930980197199436,0.822988639864478,0.983880508144923,0.67082688475472,0.341463414634146,7.6764429957905,1.64313007644523e-14,"not sign.",7,14
"2","Wildlife cameras",0.416666666666667,-0.676388109688768,0.867874641707985,0.163215798824655,-0.062870699881376,-0.631346760317623,0.527813818773126,"not sign.",4,13
"3","GPS tracking devices",0.552542372881356,-0.398803627757137,0.946801737696933,0.187329453185918,-0.0213414634146342,-0.504326101822414,0.614032238139437,"< 0.05",9,16
"4","Collective intelligence",0.884388185654008,0.652279043484018,0.986171556140028,0.234536854230703,0.101500789889416,3.25451305281695,0.00113586940242727,"< 0.05",13,21
"5","Open source hardware",0.699155524278677,0.193957456454259,0.939626459281798,0.188594684543546,0.0391061452513967,0.87894438752333,0.379431429914727,"not sign.",8,19
"6","Push Notifications",0.891669875497369,0.724829503137546,0.977967106722397,0.311717536196207,0.0869719981015662,4.36601915407958,1.26531389021967e-05,"< 0.05",15,23
"7","Augmented reality",0.83740771123872,0.609350235105926,0.961314286355772,0.224486174550322,0.0363669928004431,1.96025919388602,0.0499655029197987,"< 0.05",15,22
"8","Digital twins",-0.482142857142857,-5.06800507609063,0.962448989337338,0.111979997659666,-0.0426829268292683,-1.07990371146572,0.280185060365119,"not sign.",13,20
"9","Robots",0.916925095419847,0.792933794844188,0.980441541436407,0.51537085054478,0.158705701078583,4.82958066703877,1.36820878271493e-06,"< 0.05",9,17
"10","Ecological interaction approaches",0.809028703456856,0.534992698546911,0.954737609312016,0.233926398740614,0.039451114922813,1.67192353574091,0.0945394010875185,"< 0.05",12,21
"11","Image analysis satellites",0.757575757575758,0.303319227142331,0.945090760190331,0.43452380952381,0.0495049504950495,0.671030122938741,0.50220133999243,"not sign.",4,11
"12","Drones",0.899184149184149,0.684838140396158,0.988013997860436,0.454999042239285,0.132231404958678,2.91485135815219,0.00355857986635422,"< 0.05",9,16
"13","Internet of things",-1.81481481481481,-7.68665030478962,0.664675288819265,0.304064675938908,-0.0219763331796526,-0.44692641695366,0.654928189548848,"not sign.",10,17
"14","eNose technology",0.884797724399494,0.695431574375567,0.976804585003127,0.365370171205444,0.118243243243243,3.10598625767649,0.0018964552898697,"not sign.",9,21
"15","Social media mining",0.934089681253377,0.820239681469171,0.986830758805695,0.577910794368156,0.164671744649982,3.69676488539755,0.000218364402881921,"< 0.05",7,16
"16","Computational infrastructure to handle big volumes of data",0.741496598639456,-0.231781189032324,0.993444201516752,0.16775468203334,0.0678571428571428,0.751203983680663,0.452529903113737,"< 0.05",6,13
"17","Artificial intelligence",0.677586966094232,0.210028445277896,0.923721387884652,0.131613423158523,0.102168503377177,3.62879353242608,0.00028474885712404,"< 0.05",11,16
"18","Acoustic analysis",0.68130081300813,0.213158121471951,0.924764399548125,0.150582014636214,0.0443686006825938,1.47699196103673,0.13967779218981,"< 0.05",10,19
"19","Data aggregation software and visualisation and analysis tools",-1.82197802197802,-7.96967135177394,0.665352526798607,-0.0273329714121926,-0.089789149490642,-1.93429918667461,0.0530763531876997,"< 0.05",8,16
"20","Data analysis to reveal early signals of invasion",0.821428571428571,0.35242709277706,0.987329093145741,0.23312535019968,0.0273556231003039,0.503090730560076,0.614900483490117,"< 0.05",8,15
"21","Gamification",0.861789025306941,0.661357553584994,0.967301131716104,0.302509078888186,0.0855470179290157,2.94367475895441,0.0032434064978113,"< 0.05",11,15
"22","Advanced natural language generation",0.650660569105691,0.00635018000010645,0.943186470326557,0.173583338234429,0.00865294667913934,0.224078025012326,0.822696591235045,"< 0.05",9,15
