"","technology","icc","icc.lbound","icc.ubound","kripp","fleiss","fleiss.z","fleiss.p","p.anova","num","no.coders"
"1","DNA-based technologies",0.913218795997378,0.800209796849297,0.976730547047346,0.432097370804926,0.211347060482734,10.4600471233575,0,NA,14,14
"2","Wildlife cameras",0.818237454100367,0.534181490279006,0.963115525015726,0.214486401900813,0.107534325602861,4.13120121830425,3.60872518379018e-05,NA,13,13
"3","Technologies to increase data quality and reduce uncertainty",0.674929178470255,0.140587216583411,0.934548579275427,0.302784134852384,0.0876129827444535,2.25843545170255,0.0239185245836313,NA,9,9
"4","GPS tracking devices",0.455855855855856,-1.18120282438873,0.986215709207705,0.177276779080389,-0.0105263157894737,-0.316117372830615,0.751913420765065,NA,16,16
"5","Low earth orbit ultrafast broadband",0.70304054054054,0.214907218018068,0.940208664598817,0.15645777283651,0.0699769938650308,1.81372375067729,0.0697202666244372,NA,9,9
"6","Collective intelligence",0.815154536390828,0.460883045544448,0.977781580198068,0.0917400247554446,0.0680473372781065,3.58815918066742,0.000333020956879482,NA,21,21
"7","Open source hardware",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"8","Push Notifications",0.935162777955345,0.811686216448423,0.992201304222264,0.262795956405036,0.0873670618196166,5.77283831494217,7.79472286716043e-09,NA,23,23
"9","Chatbot",0.396551724137931,-0.504109395274934,0.857929200660926,0.0922973488758053,0.0263852242744064,0.827737792262963,0.407819011376164,NA,9,9
"10","Augmented reality",0.804787855196574,0.512874693211046,0.960114784235375,0.158523109270804,0.0385925085130533,2.80945914745791,0.00496248167884117,NA,22,22
"11","Virtual reality",0.721271393643032,0.239810335996144,0.944308504120903,0.219001211917786,0.0175438596491228,0.329252303934259,0.741964991929779,NA,7,7
"12","Neural marketing",-4.70833333333333,-19.3063551794584,0.594277670349303,0.0277008648436367,-0.0679513184584179,-1.52258527974543,0.127862494858233,NA,9,9
"13","Digital twins",-3.04093567251463,-21.0079627239648,0.995978913581025,0.111714032866274,-0.0236600676001931,-0.756433192849159,0.449389513165797,NA,20,20
"14","Tools for sensory impaired citizen scientists",0.837032339885859,0.545920796026326,0.973382298447055,0.390921301183429,0.0828571428571428,2.46588272578574,0.0136676074564579,NA,11,11
"15","Robots",0.779028436018957,0.118881089669855,0.994402532483731,0.279660066734948,0.0140659645232816,0.461477318414032,0.64445619063639,NA,17,17
"16","Ecological interaction approaches",0.88397267472412,0.661596790015829,0.986053518592561,0.154850899045532,0.053002223869533,2.98966847697175,0.00279280383157476,NA,21,21
"17","Machine learning",0.75,0.345876852552746,0.949533111983315,0.130784398306387,0.0225413923798125,0.622532233839445,0.533591955196785,NA,10,10
"18","Image analysis satellites",0.884639498432602,0.730483370569381,0.969211837927931,0.393668467805872,0.135858453473132,5.77352846547069,7.76284836412344e-09,NA,11,11
"19","Drones",0.937279710799819,0.814240049921687,0.992479580217863,0.378471721216905,0.157161515019591,6.36289411559841,1.97987182204429e-10,NA,16,16
"20","Adaptive sampling",0.323012232415902,-0.687408353689937,0.840615679701714,0.108121263140678,-0.0170768458061276,-0.552887912021647,0.580340165221072,NA,9,9
"21","Internet of things",-0.873076923076924,-4.5262534817465,0.775272339048184,0.169532364733899,-0.0038793103448276,-0.140963346678846,0.887898898265744,NA,17,17
"22","Open data and open source",0.601408450704225,-0.00572325608962676,0.906483113445166,0.161034384220487,0.0554644545191473,1.40272394251181,0.160699174820659,NA,8,8
"23","eNose technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"24","Data exchange tools",NA,NA,NA,0.168682261060109,-0.125,-0.954657319274037,0.33975102031458,NA,9,9
"25","Visual storytelling",0.816933638443936,0.485225176477622,0.970156740056082,0.303101995100262,0.0628166160081053,1.751763098536,0.0798145519138425,NA,10,10
"26","Social media mining",0.895807590467785,0.73627889387473,0.97878939053906,0.284887063152954,0.0875334635699299,4.47720426432281,7.56268831225704e-06,NA,16,16
"27","Social media",0.840763462849352,0.62533820739429,0.957596835010668,0.349152672497939,0.137860919072794,4.25747834477434,2.06745679567355e-05,NA,10,10
"28","Google Street view",0.468493150684931,-0.840746229999344,0.962133971735631,0.166857799967354,-0.00551053484602918,-0.134754739685713,0.892805791838089,NA,11,11
"29","AI analysis on sensors",-0.271186440677965,-3.45510759587227,0.909531980370434,0.264602918157366,-0.0690423162583519,-1.1249775935902,0.260598529183191,NA,10,10
"30","Computational infrastructure to handle big volumes of data",0.93972543972544,0.794931744305783,0.99569908375491,0.40357833760857,0.200781805259417,6.2534614968594,4.01453537079988e-10,NA,13,13
"31","Artificial intelligence",0.725337837837838,0.371784662198528,0.926197551033359,0.111705569362669,0.0593288590604028,3.24761260191762,0.00116377604974227,NA,16,16
"32","Acoustic analysis",-10.984126984127,-46.370325744435,0.696445875564832,0.165765885332834,-0.0436231884057971,-1.70181433077452,0.0887901791960659,NA,19,19
"33","Data aggregation software and visualisation and analysis tools",-1.81904761904762,-7.3492303951488,0.661984634455228,0.0165480911016448,-0.0328477577834904,-1.44575362491058,0.148246317652942,NA,16,16
"34","Data analysis to reveal early signals of invasion",0.850633778691333,0.498211688059372,0.989329815697021,0.194713196280793,0.028788701792504,1.01958590136623,0.307924894256497,NA,15,15
"35","Gamification",0.890144195034934,0.736056705340676,0.973861920233656,0.314121289070619,0.101396135946975,4.76926598942953,1.84898389954391e-06,NA,15,15
