"","technology","no.coders","application","audience","engagement_feedback","engagement_others","extend_data","improve_curation","improve_flow","improve_quality","new_data","sum.scores"
"1","AI analysis on sensors",10,3.2,2.4,2.9,2.2,4,2.4,4.5,4.2,4.4,30.2
"2","Acoustic analysis",16,4.25,4.1875,4.375,3.0625,4.8125,3.0625,3.75,4.4375,4.9375,36.875
"3","Adaptive sampling",9,2,2.77777777777778,3.66666666666667,2.88888888888889,4.22222222222222,3,3.11111111111111,4,3.22222222222222,28.8888888888889
"4","Advanced natural language generation",15,3.2,3.53333333333333,3.86666666666667,2.73333333333333,2.86666666666667,2.93333333333333,2.73333333333333,3.33333333333333,2.8,28
"5","Artificial intelligence",16,4.5,3.9375,3.9375,2.875,3.625,3.4375,3.6875,4.4375,4.125,34.5625
"6","Augmented reality",21,3.71428571428571,4.38095238095238,4.28571428571429,3.47619047619048,3.76190476190476,2.57142857142857,2.76190476190476,3.19047619047619,2.80952380952381,30.952380952381
"7","Chatbot",9,4,3.55555555555556,4.11111111111111,2.55555555555556,3.22222222222222,2.77777777777778,3.44444444444444,3.22222222222222,2.88888888888889,29.7777777777778
"8","Collective intelligence",20,3.3,4.15,3.7,4.45,3.9,3.8,3.6,4.55,3.75,35.2
"9","Computational infrastructure to handle big volumes of data",13,2.69230769230769,2.38461538461538,3.76923076923077,2.46153846153846,3.69230769230769,4.69230769230769,4.61538461538461,3.61538461538462,3.46153846153846,31.3846153846154
"10","DNA-based technologies",14,2.64285714285714,3.14285714285714,2.92857142857143,2.92857142857143,4.92857142857143,3.28571428571429,3.42857142857143,4.78571428571429,4.92857142857143,33
"11","Data aggregation software and visualisation and analysis tools",15,3.8,3.66666666666667,3.93333333333333,2.86666666666667,3.4,3.33333333333333,3.8,3.86666666666667,2.8,31.4666666666667
"12","Data analysis to reveal early signals of invasion",15,2.86666666666667,2.13333333333333,2.93333333333333,2,4.2,3,3.53333333333333,3.8,4.4,28.8666666666667
"13","Data exchange tools",9,3.33333333333333,3.22222222222222,3.11111111111111,3.33333333333333,2.55555555555556,4.44444444444444,4.11111111111111,3.11111111111111,2.55555555555556,29.7777777777778
"14","Digital twins",19,3.36842105263158,2.78947368421053,3.36842105263158,2.63157894736842,3.94736842105263,3.05263157894737,3.78947368421053,3.73684210526316,3.94736842105263,30.6315789473684
"15","Drones",16,2.6875,3.625,2.375,2.9375,4.75,2.6875,3.5,3.8125,4.5625,30.9375
"16","Ecological interaction approaches",19,3.1578947368421,3.57894736842105,3.73684210526316,3.36842105263158,4.78947368421053,3.1578947368421,3.10526315789474,3.63157894736842,4.68421052631579,33.2105263157895
"17","GPS tracking devices",16,3.6875,3,3,2.1875,4.375,3.4375,3.4375,4.0625,4.3125,31.5
"18","Gamification",15,4.4,4.73333333333333,4.33333333333333,4.33333333333333,3.6,2.13333333333333,3.06666666666667,2.8,3.2,32.6
"19","Google Street view",11,3.45454545454545,2.90909090909091,2.54545454545455,2.27272727272727,4.27272727272727,2.63636363636364,3.09090909090909,3.45454545454545,3.81818181818182,28.4545454545455
"20","Image analysis satellites",10,2.7,2.9,2.6,2.6,5,3.8,3.9,4.3,4.7,32.5
"21","Internet of things",17,4.29411764705882,4.11764705882353,2.76470588235294,3.17647058823529,4.11764705882353,3.17647058823529,4.17647058823529,3.05882352941176,3.88235294117647,32.7647058823529
