"","technology","no.coders","application","engagement","new_information","improve_data"
"1","3D technology to improve CS experience",15,2.73333333333333,8.8,5.73333333333333,6.8
"2","AI analysis on sensors",9,3.22222222222222,8.33333333333333,8.44444444444444,11
"3","Acoustic analysis",8,2.875,8.875,9.125,9.75
"4","Acoustic hardware",9,3.11111111111111,9.33333333333333,8.66666666666667,11
"5","Adaptive sampling",9,2,9.33333333333333,7.44444444444444,10.1111111111111
"6","Advanced natural language generation",13,3.15384615384615,9.84615384615385,5.61538461538461,9.23076923076923
"7","Artificial intelligence",15,4.46666666666667,10.6,7.6,11.3333333333333
"8","Augmented reality",7,3.57142857142857,12,7.71428571428571,10
"9","Chatbot",9,4,10.2222222222222,6.11111111111111,9.44444444444444
"10","Collective intelligence",14,3.14285714285714,12.8571428571429,7.92857142857143,10.8571428571429
"11","Computational infrastructure to handle big volumes of data",11,2.63636363636364,8.63636363636364,7.09090909090909,13.0909090909091
"12","DNA-based technologies",13,2.69230769230769,9.23076923076923,9.84615384615385,11.3846153846154
"13","Data aggregation software and visualisation and analysis tools",8,3.625,8.25,4.875,8.875
"14","Data analysis to reveal early signals of invasion",15,2.86666666666667,7.06666666666667,8.6,10.3333333333333
"15","Data exchange tools",9,3.33333333333333,9.66666666666667,5.11111111111111,11.6666666666667
"16","Digital twins",14,3.35714285714286,8.85714285714286,6.85714285714286,9.42857142857143
"17","Drones",16,2.6875,8.9375,9.3125,10
"18","Ecological interaction approaches",11,3.18181818181818,10.1818181818182,8.63636363636364,11.1818181818182
"19","GPS tracking devices",15,3.6,8.13333333333333,8.66666666666667,10.8666666666667
"20","Gamification",14,4.42857142857143,13.3571428571429,6.64285714285714,7.64285714285714
"21","Google Street view",11,3.45454545454545,7.72727272727273,8.09090909090909,9.18181818181818
"22","Image analysis satellites",10,2.7,8.1,9.7,12
"23","Internet of things",8,4.25,11.5,8.25,10.625
"24","Low earth orbit ultrafast broadband",8,4.375,10.875,8.875,11.125
"25","Machine learning",10,4.4,11.1,8.9,11.5
"26","Mobile-based data collection platforms",11,4.63636363636364,12.5454545454545,8.45454545454546,13
"27","Neural marketing",9,3.11111111111111,9.11111111111111,6.22222222222222,6.22222222222222
"28","Open data and open source",8,3.375,11.125,6,13.125
"29","Open source hardware",9,3.11111111111111,9.44444444444444,8,8.33333333333333
"30","Push Notifications",9,4,11.5555555555556,5.77777777777778,8.22222222222222
"31","Robots",8,2.875,8.375,7.125,6.5
"32","Social media have",11,4.72727272727273,14.6363636363636,8.27272727272727,10.5454545454545
"33","Social media mining has",8,3.25,5.5,9.125,10
"34","Technologies to increase data quality and reduce uncertainty",9,3.66666666666667,8.44444444444444,7,14.4444444444444
"35","Tools for sensory impaired citizen scientists",11,4.18181818181818,12.9090909090909,6.45454545454545,7.09090909090909
"36","Virtual reality",8,3.75,13.375,6.375,8.25
"37","Visual storytelling",10,3.3,12.5,5.6,7.6
"38","Wildlife cameras",15,3,10.5333333333333,9.46666666666667,10.8
"39","eNose technology",9,3,6.66666666666667,8.33333333333333,9
