"","technology","no.coders","application","audience","engagement_feedback","engagement_others","extend_data","improve_curation","improve_flow","improve_quality","new_data"
"1","3D technology to improve CS experience",15,2.73333333333333,3.46666666666667,2.8,2.53333333333333,3.06666666666667,1.93333333333333,1.66666666666667,3.2,2.66666666666667
"2","AI analysis on sensors",9,3.22222222222222,2.66666666666667,3.22222222222222,2.44444444444444,4,2.22222222222222,4.55555555555556,4.22222222222222,4.44444444444444
"3","Acoustic analysis",8,2.875,3,3.625,2.25,4.625,2.875,3.25,3.625,4.5
"4","Acoustic hardware",9,3.11111111111111,4,2.88888888888889,2.44444444444444,4.55555555555556,2.88888888888889,3.66666666666667,4.44444444444444,4.11111111111111
"5","Adaptive sampling",9,2,2.77777777777778,3.66666666666667,2.88888888888889,4.22222222222222,3,3.11111111111111,4,3.22222222222222
"6","Advanced natural language generation",13,3.15384615384615,3.53846153846154,3.84615384615385,2.46153846153846,2.84615384615385,3,2.76923076923077,3.46153846153846,2.76923076923077
"7","Artificial intelligence",15,4.46666666666667,3.86666666666667,4,2.73333333333333,3.53333333333333,3.33333333333333,3.6,4.4,4.06666666666667
"8","Augmented reality",7,3.57142857142857,4.71428571428571,3.85714285714286,3.42857142857143,4,3.42857142857143,3,3.57142857142857,3.71428571428571
"9","Chatbot",9,4,3.55555555555556,4.11111111111111,2.55555555555556,3.22222222222222,2.77777777777778,3.44444444444444,3.22222222222222,2.88888888888889
"10","Collective intelligence",14,3.14285714285714,4.57142857142857,3.5,4.78571428571429,3.92857142857143,3,3.28571428571429,4.57142857142857,4
"11","Computational infrastructure to handle big volumes of data",11,2.63636363636364,2.36363636363636,3.90909090909091,2.36363636363636,3.63636363636364,4.81818181818182,4.72727272727273,3.54545454545455,3.45454545454545
"12","DNA-based technologies",13,2.69230769230769,3.23076923076923,3.07692307692308,2.92307692307692,4.92307692307692,3.23076923076923,3.38461538461538,4.76923076923077,4.92307692307692
"13","Data aggregation software and visualisation and analysis tools",8,3.625,2.875,3.25,2.125,2.75,2.25,3.375,3.25,2.125
"14","Data analysis to reveal early signals of invasion",15,2.86666666666667,2.13333333333333,2.93333333333333,2,4.2,3,3.53333333333333,3.8,4.4
"15","Data exchange tools",9,3.33333333333333,3.22222222222222,3.11111111111111,3.33333333333333,2.55555555555556,4.44444444444444,4.11111111111111,3.11111111111111,2.55555555555556
"16","Digital twins",14,3.35714285714286,2.85714285714286,3.42857142857143,2.57142857142857,3.21428571428571,2.85714285714286,3.28571428571429,3.28571428571429,3.64285714285714
"17","Drones",16,2.6875,3.625,2.375,2.9375,4.75,2.6875,3.5,3.8125,4.5625
"18","Ecological interaction approaches",11,3.18181818181818,3.54545454545455,3.36363636363636,3.27272727272727,4.54545454545455,3.45454545454545,3.45454545454545,4.27272727272727,4.09090909090909
"19","GPS tracking devices",15,3.6,3,3,2.13333333333333,4.4,3.4,3.46666666666667,4,4.26666666666667
"20","Gamification",14,4.42857142857143,4.71428571428571,4.35714285714286,4.28571428571429,3.57142857142857,1.92857142857143,3,2.71428571428571,3.07142857142857
"21","Google Street view",11,3.45454545454545,2.90909090909091,2.54545454545455,2.27272727272727,4.27272727272727,2.63636363636364,3.09090909090909,3.45454545454545,3.81818181818182
"22","Image analysis satellites",10,2.7,2.9,2.6,2.6,5,3.8,3.9,4.3,4.7
"23","Internet of things",8,4.25,4.375,3.25,3.875,4.25,3.625,3.875,3.125,4
"24","Low earth orbit ultrafast broadband",8,4.375,4.375,3.25,3.25,4.875,2.625,4.625,3.875,4
"25","Machine learning",10,4.4,3.8,4.4,2.9,4.4,3.7,3.9,3.9,4.5
"26","Mobile-based data collection platforms",11,4.63636363636364,4.63636363636364,4.09090909090909,3.81818181818182,4.54545454545455,4.27272727272727,4.54545454545455,4.18181818181818,3.90909090909091
"27","Neural marketing",9,3.11111111111111,3.22222222222222,3.11111111111111,2.77777777777778,2.88888888888889,1.55555555555556,2.44444444444444,2.22222222222222,3.33333333333333
"28","Open data and open source",8,3.375,3.75,3.5,3.875,3.375,4.625,4.375,4.125,2.625
"29","Open source hardware",9,3.11111111111111,3.55555555555556,2.66666666666667,3.22222222222222,4.11111111111111,2.11111111111111,2.66666666666667,3.55555555555556,3.88888888888889
"30","Push Notifications",9,4,3.44444444444444,4.44444444444444,3.66666666666667,3,1.88888888888889,3.55555555555556,2.77777777777778,2.77777777777778
"31","Robots",8,2.875,3.25,2.375,2.75,3.375,2,2.375,2.125,3.75
"32","Social media have",11,4.72727272727273,4.90909090909091,4.72727272727273,5,4.18181818181818,3.09090909090909,4.18181818181818,3.27272727272727,4.09090909090909
"33","Social media mining has",8,3.25,1.875,1.875,1.75,4.625,2.375,4.375,3.25,4.5
"34","Technologies to increase data quality and reduce uncertainty",9,3.66666666666667,2.22222222222222,4,2.22222222222222,3.44444444444444,4.77777777777778,4.66666666666667,5,3.55555555555556
"35","Tools for sensory impaired citizen scientists",11,4.18181818181818,4.81818181818182,3.72727272727273,4.36363636363636,3.45454545454545,2.18181818181818,2.63636363636364,2.27272727272727,3
"36","Virtual reality",8,3.75,4.375,4.5,4.5,3,2.25,2.625,3.375,3.375
"37","Visual storytelling",10,3.3,4.6,3.8,4.1,3.1,2.1,2.9,2.6,2.5
"38","Wildlife cameras",15,3,3.86666666666667,3.6,3.06666666666667,4.73333333333333,2.93333333333333,3.86666666666667,4,4.73333333333333
"39","eNose technology",9,3,2.77777777777778,2.11111111111111,1.77777777777778,4.11111111111111,2.66666666666667,2.55555555555556,3.77777777777778,4.22222222222222
